"ID";"Region";"global_id";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";
"337";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693625";"Газ";"руб/1000 куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на отопление с одновременным использованием газа на другие цели (кроме отопления и (или) выработки электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах)";"ООО «Газпром межрегионгаз Москва»";"2930";
"338";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693626";"Газ";"руб/1000 куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на отопление с одновременным использованием газа на другие цели (кроме отопления и (или) выработки электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах)";"ООО «Газпром межрегионгаз Москва»";"3370";
"339";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693627";"Газ";"руб/1000 куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на отопление и (или) выработку электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах";"ООО «Газпром межрегионгаз Москва»";"2930";
"340";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693628";"Газ";"руб/1000 куб.м";"01.07.2012";"31.12.2012";"да/нет";"";"";"на отопление и (или) выработку электрической энергии с использованием котельных всех типов и (или) иного оборудования, находящихся в общей долевой собственности собственников помещений в многоквартирных домах";"ООО «Газпром межрегионгаз Москва»";"3370";
"341";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693629";"Твердое топливо";"руб/т";"01.01.2012";"31.12.2012";"нет";"";"";"твердое топливо (уголь), поставляемое населению, проживающему в домах с печным отоплением";"ОАО «Мосгаз»";"1126";
"276";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693667";"Водоотведение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"МГУП «Мосводоканал»";"16.65";
"277";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693668";"Водоотведение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"МГУП «Мосводоканал»";"18.2";
"280";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693669";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.95";
"282";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693670";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.95";
"283";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693671";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"газовая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.2";
"290";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693672";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.67";
"294";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693673";"Электроэнергия";"руб/кВт.ч";"01.01.2012";"30.06.2012";"да";"электрическая";"с 17:00 по 21:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.66";
"300";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693674";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"газовая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.39";
